race_id,rt_key,date,post_datetime,umaban,odds_place_min_60m,odds_place_max_60m,hyosu_total_60m,happyo_datetime_60m,odds_place_min_30m,odds_place_max_30m,hyosu_total_30m,happyo_datetime_30m,odds_place_min_10m,odds_place_max_10m,hyosu_total_10m,happyo_datetime_10m,odds_place_min_5m,odds_place_max_5m,hyosu_total_5m,happyo_datetime_5m,odds_place_min_3m,odds_place_max_3m,hyosu_total_3m,happyo_datetime_3m,odds_place_min_1m,odds_place_max_1m,hyosu_total_1m,happyo_datetime_1m
202104050102,202110090402,2021-10-09,10:25:00,01,8.3,15.2,3816400,09:21:00,9.1,15.9,5842400,09:55:00,9.6,17.8,9586900,10:14:00,10.3,23.7,15104500,10:19:00,10.3,23.7,15104500,10:19:00,10.3,23.7,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,02,1.9,3.2,3816400,09:21:00,2.0,3.2,5842400,09:55:00,2.2,3.7,9586900,10:14:00,2.1,4.4,15104500,10:19:00,2.1,4.4,15104500,10:19:00,2.1,4.4,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,03,5.7,10.4,3816400,09:21:00,5.4,9.3,5842400,09:55:00,5.6,10.2,9586900,10:14:00,4.7,10.4,15104500,10:19:00,4.7,10.4,15104500,10:19:00,4.7,10.4,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,04,4.5,8.0,3816400,09:21:00,5.0,8.6,5842400,09:55:00,5.2,9.5,9586900,10:14:00,4.9,11.1,15104500,10:19:00,4.9,11.1,15104500,10:19:00,4.9,11.1,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,05,11.4,21.0,3816400,09:21:00,9.1,15.8,5842400,09:55:00,9.9,18.3,9586900,10:14:00,9.7,22.2,15104500,10:19:00,9.7,22.2,15104500,10:19:00,9.7,22.2,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,06,1.6,2.6,3816400,09:21:00,1.5,2.4,5842400,09:55:00,1.6,2.5,9586900,10:14:00,1.6,3.1,15104500,10:19:00,1.6,3.1,15104500,10:19:00,1.6,3.1,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,07,11.1,20.4,3816400,09:21:00,7.1,12.4,5842400,09:55:00,7.8,14.4,9586900,10:14:00,8.1,18.5,15104500,10:19:00,8.1,18.5,15104500,10:19:00,8.1,18.5,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,08,1.1,1.4,3816400,09:21:00,1.1,1.4,5842400,09:55:00,1.1,1.4,9586900,10:14:00,1.1,1.2,15104500,10:19:00,1.1,1.2,15104500,10:19:00,1.1,1.2,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,09,4.5,8.1,3816400,09:21:00,5.5,9.5,5842400,09:55:00,4.8,8.6,9586900,10:14:00,4.8,10.8,15104500,10:19:00,4.8,10.8,15104500,10:19:00,4.8,10.8,15104500,10:19:00
202104050102,202110090402,2021-10-09,10:25:00,10,4.6,8.3,3816400,09:21:00,4.4,7.5,5842400,09:55:00,4.4,7.9,9586900,10:14:00,4.9,10.9,15104500,10:19:00,4.9,10.9,15104500,10:19:00,4.9,10.9,15104500,10:19:00
