rt_key,race_id,snapshot_label,target_datetime,post_datetime,acquired_at,delay_seconds,status,rows_saved
202609190901,202609040501,60m,2026-09-19T08:45:00,2026-09-19T09:45:00,2026-09-19T12:09:01,12241.406,skipped_at_startup,0
202609190601,202606040501,60m,2026-09-19T09:00:00,2026-09-19T10:00:00,2026-09-19T12:09:01,11341.406,skipped_at_startup,0
202609190901,202609040501,30m,2026-09-19T09:15:00,2026-09-19T09:45:00,2026-09-19T12:09:01,10441.406,skipped_at_startup,0
202609190902,202609040502,60m,2026-09-19T09:15:00,2026-09-19T10:15:00,2026-09-19T12:09:01,10441.406,skipped_at_startup,0
202609190601,202606040501,30m,2026-09-19T09:30:00,2026-09-19T10:00:00,2026-09-19T12:09:01,9541.406,skipped_at_startup,0
202609190602,202606040502,60m,2026-09-19T09:30:00,2026-09-19T10:30:00,2026-09-19T12:09:01,9541.406,skipped_at_startup,0
202609190901,202609040501,10m,2026-09-19T09:35:00,2026-09-19T09:45:00,2026-09-19T12:09:01,9241.406,skipped_at_startup,0
202609190901,202609040501,5m,2026-09-19T09:40:00,2026-09-19T09:45:00,2026-09-19T12:09:01,8941.406,skipped_at_startup,0
202609190901,202609040501,1m,2026-09-19T09:44:00,2026-09-19T09:45:00,2026-09-19T12:09:01,8701.406,skipped_at_startup,0
202609190901,202609040501,10s,2026-09-19T09:44:50,2026-09-19T09:45:00,2026-09-19T12:09:01,8651.406,skipped_at_startup,0
202609190902,202609040502,30m,2026-09-19T09:45:00,2026-09-19T10:15:00,2026-09-19T12:09:01,8641.406,skipped_at_startup,0
202609190903,202609040503,60m,2026-09-19T09:45:00,2026-09-19T10:45:00,2026-09-19T12:09:01,8641.406,skipped_at_startup,0
202609190601,202606040501,10m,2026-09-19T09:50:00,2026-09-19T10:00:00,2026-09-19T12:09:01,8341.406,skipped_at_startup,0
202609190601,202606040501,5m,2026-09-19T09:55:00,2026-09-19T10:00:00,2026-09-19T12:09:01,8041.406,skipped_at_startup,0
202609190601,202606040501,1m,2026-09-19T09:59:00,2026-09-19T10:00:00,2026-09-19T12:09:01,7801.406,skipped_at_startup,0
202609190601,202606040501,10s,2026-09-19T09:59:50,2026-09-19T10:00:00,2026-09-19T12:09:01,7751.406,skipped_at_startup,0
202609190602,202606040502,30m,2026-09-19T10:00:00,2026-09-19T10:30:00,2026-09-19T12:09:01,7741.406,skipped_at_startup,0
202609190603,202606040503,60m,2026-09-19T10:00:00,2026-09-19T11:00:00,2026-09-19T12:09:01,7741.406,skipped_at_startup,0
202609190902,202609040502,10m,2026-09-19T10:05:00,2026-09-19T10:15:00,2026-09-19T12:09:01,7441.406,skipped_at_startup,0
202609190902,202609040502,5m,2026-09-19T10:10:00,2026-09-19T10:15:00,2026-09-19T12:09:01,7141.406,skipped_at_startup,0
202609190902,202609040502,1m,2026-09-19T10:14:00,2026-09-19T10:15:00,2026-09-19T12:09:01,6901.406,skipped_at_startup,0
202609190902,202609040502,10s,2026-09-19T10:14:50,2026-09-19T10:15:00,2026-09-19T12:09:01,6851.406,skipped_at_startup,0
202609190903,202609040503,30m,2026-09-19T10:15:00,2026-09-19T10:45:00,2026-09-19T12:09:01,6841.406,skipped_at_startup,0
202609190602,202606040502,10m,2026-09-19T10:20:00,2026-09-19T10:30:00,2026-09-19T12:09:01,6541.406,skipped_at_startup,0
202609190904,202609040504,60m,2026-09-19T10:20:00,2026-09-19T11:20:00,2026-09-19T12:09:01,6541.406,skipped_at_startup,0
202609190602,202606040502,5m,2026-09-19T10:25:00,2026-09-19T10:30:00,2026-09-19T12:09:01,6241.406,skipped_at_startup,0
202609190602,202606040502,1m,2026-09-19T10:29:00,2026-09-19T10:30:00,2026-09-19T12:09:01,6001.406,skipped_at_startup,0
202609190602,202606040502,10s,2026-09-19T10:29:50,2026-09-19T10:30:00,2026-09-19T12:09:01,5951.406,skipped_at_startup,0
202609190603,202606040503,30m,2026-09-19T10:30:00,2026-09-19T11:00:00,2026-09-19T12:09:01,5941.406,skipped_at_startup,0
202609190903,202609040503,10m,2026-09-19T10:35:00,2026-09-19T10:45:00,2026-09-19T12:09:01,5641.406,skipped_at_startup,0
202609190604,202606040504,60m,2026-09-19T10:35:00,2026-09-19T11:35:00,2026-09-19T12:09:01,5641.406,skipped_at_startup,0
202609190903,202609040503,5m,2026-09-19T10:40:00,2026-09-19T10:45:00,2026-09-19T12:09:01,5341.406,skipped_at_startup,0
202609190903,202609040503,1m,2026-09-19T10:44:00,2026-09-19T10:45:00,2026-09-19T12:09:01,5101.406,skipped_at_startup,0
202609190903,202609040503,10s,2026-09-19T10:44:50,2026-09-19T10:45:00,2026-09-19T12:09:01,5051.406,skipped_at_startup,0
202609190603,202606040503,10m,2026-09-19T10:50:00,2026-09-19T11:00:00,2026-09-19T12:09:01,4741.406,skipped_at_startup,0
202609190904,202609040504,30m,2026-09-19T10:50:00,2026-09-19T11:20:00,2026-09-19T12:09:01,4741.406,skipped_at_startup,0
202609190603,202606040503,5m,2026-09-19T10:55:00,2026-09-19T11:00:00,2026-09-19T12:09:01,4441.406,skipped_at_startup,0
202609190603,202606040503,1m,2026-09-19T10:59:00,2026-09-19T11:00:00,2026-09-19T12:09:01,4201.406,skipped_at_startup,0
202609190603,202606040503,10s,2026-09-19T10:59:50,2026-09-19T11:00:00,2026-09-19T12:09:01,4151.406,skipped_at_startup,0
202609190604,202606040504,30m,2026-09-19T11:05:00,2026-09-19T11:35:00,2026-09-19T12:09:01,3841.406,skipped_at_startup,0
202609190904,202609040504,10m,2026-09-19T11:10:00,2026-09-19T11:20:00,2026-09-19T12:09:01,3541.406,skipped_at_startup,0
202609190905,202609040505,60m,2026-09-19T11:10:00,2026-09-19T12:10:00,2026-09-19T12:09:01,3541.406,skipped_at_startup,0
202609190904,202609040504,5m,2026-09-19T11:15:00,2026-09-19T11:20:00,2026-09-19T12:09:01,3241.406,skipped_at_startup,0
202609190904,202609040504,1m,2026-09-19T11:19:00,2026-09-19T11:20:00,2026-09-19T12:09:01,3001.406,skipped_at_startup,0
202609190904,202609040504,10s,2026-09-19T11:19:50,2026-09-19T11:20:00,2026-09-19T12:09:01,2951.406,skipped_at_startup,0
202609190604,202606040504,10m,2026-09-19T11:25:00,2026-09-19T11:35:00,2026-09-19T12:09:01,2641.406,skipped_at_startup,0
202609190605,202606040505,60m,2026-09-19T11:25:00,2026-09-19T12:25:00,2026-09-19T12:09:01,2641.406,skipped_at_startup,0
202609190604,202606040504,5m,2026-09-19T11:30:00,2026-09-19T11:35:00,2026-09-19T12:09:01,2341.406,skipped_at_startup,0
202609190604,202606040504,1m,2026-09-19T11:34:00,2026-09-19T11:35:00,2026-09-19T12:09:01,2101.406,skipped_at_startup,0
202609190604,202606040504,10s,2026-09-19T11:34:50,2026-09-19T11:35:00,2026-09-19T12:09:01,2051.406,skipped_at_startup,0
202609190905,202609040505,30m,2026-09-19T11:40:00,2026-09-19T12:10:00,2026-09-19T12:09:01,1741.406,skipped_at_startup,0
202609190906,202609040506,60m,2026-09-19T11:40:00,2026-09-19T12:40:00,2026-09-19T12:09:01,1741.406,skipped_at_startup,0
202609190605,202606040505,30m,2026-09-19T11:55:00,2026-09-19T12:25:00,2026-09-19T12:09:01,841.406,skipped_at_startup,0
202609190606,202606040506,60m,2026-09-19T11:55:00,2026-09-19T12:55:00,2026-09-19T12:09:01,841.406,skipped_at_startup,0
202609190905,202609040505,10m,2026-09-19T12:00:00,2026-09-19T12:10:00,2026-09-19T12:09:01,541.406,skipped_at_startup,0
202609190905,202609040505,5m,2026-09-19T12:05:00,2026-09-19T12:10:00,2026-09-19T12:09:01,241.406,skipped_at_startup,0
202609190905,202609040505,1m,2026-09-19T12:09:00,2026-09-19T12:10:00,2026-09-19T12:09:01,1.406,skipped_at_startup,0
202609190905,202609040505,10s,2026-09-19T12:09:50,2026-09-19T12:10:00,2026-09-19T12:09:52,2.001,saved,50
202609190906,202609040506,30m,2026-09-19T12:10:00,2026-09-19T12:40:00,2026-09-19T12:10:02,2.0,saved,53
202609190907,202609040507,60m,2026-09-19T12:10:00,2026-09-19T13:10:00,2026-09-19T12:10:02,2.0,saved,56
202609190605,202606040505,10m,2026-09-19T12:15:00,2026-09-19T12:25:00,2026-09-19T12:15:02,2.001,saved,56
202609190605,202606040505,5m,2026-09-19T12:20:00,2026-09-19T12:25:00,2026-09-19T12:20:02,2.001,saved,56
202609190605,202606040505,1m,2026-09-19T12:24:00,2026-09-19T12:25:00,2026-09-19T12:24:02,2.001,saved,56
202609190605,202606040505,10s,2026-09-19T12:24:50,2026-09-19T12:25:00,2026-09-19T12:24:52,2.001,saved,56
202609190606,202606040506,30m,2026-09-19T12:25:00,2026-09-19T12:55:00,2026-09-19T12:25:02,2.001,saved,56
202609190607,202606040507,60m,2026-09-19T12:25:00,2026-09-19T13:25:00,2026-09-19T12:25:02,2.001,saved,62
202609190906,202609040506,10m,2026-09-19T12:30:00,2026-09-19T12:40:00,2026-09-19T12:30:02,2.001,saved,53
202609190906,202609040506,5m,2026-09-19T12:35:00,2026-09-19T12:40:00,2026-09-19T12:35:02,2.001,saved,53
202609190906,202609040506,1m,2026-09-19T12:39:00,2026-09-19T12:40:00,2026-09-19T12:39:02,2.001,saved,53
202609190906,202609040506,10s,2026-09-19T12:39:50,2026-09-19T12:40:00,2026-09-19T12:39:52,2.001,saved,53
202609190907,202609040507,30m,2026-09-19T12:40:00,2026-09-19T13:10:00,2026-09-19T12:40:02,2.001,saved,56
202609190908,202609040508,60m,2026-09-19T12:40:00,2026-09-19T13:40:00,2026-09-19T12:40:02,2.001,saved,12
202609190606,202606040506,10m,2026-09-19T12:45:00,2026-09-19T12:55:00,2026-09-19T12:45:02,2.002,saved,56
202609190606,202606040506,5m,2026-09-19T12:50:00,2026-09-19T12:55:00,2026-09-19T12:50:02,2.002,saved,56
202609190606,202606040506,1m,2026-09-19T12:54:00,2026-09-19T12:55:00,2026-09-19T12:54:02,2.002,saved,56
202609190606,202606040506,10s,2026-09-19T12:54:50,2026-09-19T12:55:00,2026-09-19T12:54:52,2.001,saved,56
202609190607,202606040507,30m,2026-09-19T12:55:00,2026-09-19T13:25:00,2026-09-19T12:55:02,2.001,saved,62
202609190608,202606040508,60m,2026-09-19T12:55:00,2026-09-19T13:55:00,2026-09-19T12:55:02,2.001,saved,62
202609190907,202609040507,10m,2026-09-19T13:00:00,2026-09-19T13:10:00,2026-09-19T13:00:02,2.001,saved,56
202609190907,202609040507,5m,2026-09-19T13:05:00,2026-09-19T13:10:00,2026-09-19T13:05:02,2.002,saved,56
202609190907,202609040507,1m,2026-09-19T13:09:00,2026-09-19T13:10:00,2026-09-19T13:09:02,2.001,saved,56
202609190907,202609040507,10s,2026-09-19T13:09:50,2026-09-19T13:10:00,2026-09-19T13:09:52,2.001,saved,56
202609190908,202609040508,30m,2026-09-19T13:10:00,2026-09-19T13:40:00,2026-09-19T13:10:02,2.001,saved,12
202609190909,202609040509,60m,2026-09-19T13:10:00,2026-09-19T14:10:00,2026-09-19T13:10:02,2.001,saved,62
202609190607,202606040507,10m,2026-09-19T13:15:00,2026-09-19T13:25:00,2026-09-19T13:15:02,2.001,saved,62
202609190607,202606040507,5m,2026-09-19T13:20:00,2026-09-19T13:25:00,2026-09-19T13:20:02,2.001,saved,62
202609190607,202606040507,1m,2026-09-19T13:24:00,2026-09-19T13:25:00,2026-09-19T13:24:02,2.002,saved,62
202609190607,202606040507,10s,2026-09-19T13:24:50,2026-09-19T13:25:00,2026-09-19T13:24:52,2.001,saved,62
202609190608,202606040508,30m,2026-09-19T13:25:00,2026-09-19T13:55:00,2026-09-19T13:25:02,2.001,saved,62
202609190609,202606040509,60m,2026-09-19T13:25:00,2026-09-19T14:25:00,2026-09-19T13:25:02,2.001,saved,47
202609190908,202609040508,10m,2026-09-19T13:30:00,2026-09-19T13:40:00,2026-09-19T13:30:02,2.002,saved,12
202609190908,202609040508,5m,2026-09-19T13:35:00,2026-09-19T13:40:00,2026-09-19T13:35:02,2.001,saved,12
202609190908,202609040508,1m,2026-09-19T13:39:00,2026-09-19T13:40:00,2026-09-19T13:39:02,2.002,saved,12
202609190908,202609040508,10s,2026-09-19T13:39:50,2026-09-19T13:40:00,2026-09-19T13:39:52,2.001,saved,12
202609190909,202609040509,30m,2026-09-19T13:40:00,2026-09-19T14:10:00,2026-09-19T13:40:02,2.001,saved,62
