race_id,data_kubun,made_date,keibajo_code,race_num,happyo_datetime,toroku_tosu,syusso_tosu,hatsubai_flag,hyosu_total,umaban,odds_place_min,odds_place_max,ninkijun,rt_key,acquired_at,venue_code,race_number,post_datetime,snapshot_label,target_datetime,source_age_seconds,odds_dataspec
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,1,2.6,11.4,6.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,2,2.2,9.2,5.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,3,1.1,1.1,1.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,4,4.7,21.9,8.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,5,1.5,5.5,4.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,6,1.3,4.9,3.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,7,4.1,18.7,7.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040701,1,2026-09-21,9,1,2026-09-21 09:58:00,8,0,7,652115,8,1.1,1.6,2.0,202609210901,2026-09-21T09:59:02,9,1,2026-09-21T10:00:00,1m,2026-09-21T09:59:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,1,1.4,2.1,3.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,2,4.9,8.4,7.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,3,1.7,2.6,4.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,4,22.9,39.3,10.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,5,1.1,1.5,1.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,6,12.9,22.1,9.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,7,2.5,4.0,6.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,8,1.7,2.7,5.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,9,1.3,1.9,2.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040702,1,2026-09-21,9,2,2026-09-21 10:33:00,10,0,7,656658,10,6.0,10.2,8.0,202609210902,2026-09-21T10:34:02,9,2,2026-09-21T10:35:00,1m,2026-09-21T10:34:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,1,4.9,9.8,8.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,2,16.3,33.2,13.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,3,1.5,2.7,3.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,4,1.4,2.2,2.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,5,3.8,7.4,6.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,6,1.6,2.8,4.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,7,11.6,23.6,12.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,8,5.5,10.9,9.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,9,1.1,1.2,1.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,10,11.3,23.0,11.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,11,6.9,13.8,10.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,12,4.4,8.5,7.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040703,1,2026-09-21,9,3,2026-09-21 11:03:00,13,0,7,686393,13,2.5,4.7,5.0,202609210903,2026-09-21T11:04:02,9,3,2026-09-21T11:05:00,1m,2026-09-21T11:04:00,60.0,0B31
202609040704,1,2026-09-21,9,4,2026-09-21 11:33:00,15,0,7,568916,1,1.4,1.9,2.0,202609210904,2026-09-21T11:34:02,9,4,2026-09-21T11:35:00,1m,2026-09-21T11:34:00,60.0,0B31
