rt_key,race_id,snapshot_label,target_datetime,post_datetime,acquired_at,delay_seconds,odds_dataspec,latest_happyo_datetime,source_age_seconds,freshness_limit_seconds,status,rows_saved
202609210601,202606040701,60m,2026-09-21T08:45:00,2026-09-21T09:45:00,2026-09-21T08:45:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210901,202609040701,60m,2026-09-21T09:00:00,2026-09-21T10:00:00,2026-09-21T09:00:02,2.001,0B31,2026-09-21T08:59:00,60.0,900.0,saved,16
202609210601,202606040701,30m,2026-09-21T09:15:00,2026-09-21T09:45:00,2026-09-21T09:15:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210602,202606040702,60m,2026-09-21T09:20:00,2026-09-21T10:20:00,2026-09-21T09:20:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210901,202609040701,30m,2026-09-21T09:30:00,2026-09-21T10:00:00,2026-09-21T09:30:02,2.001,0B31,2026-09-21T09:29:00,60.0,900.0,saved,16
202609210601,202606040701,10m,2026-09-21T09:35:00,2026-09-21T09:45:00,2026-09-21T09:35:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210902,202609040702,60m,2026-09-21T09:35:00,2026-09-21T10:35:00,2026-09-21T09:35:02,2.001,0B31,2026-09-21T09:33:00,120.0,900.0,saved,50
202609210601,202606040701,5m,2026-09-21T09:40:00,2026-09-21T09:45:00,2026-09-21T09:40:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210601,202606040701,1m,2026-09-21T09:44:00,2026-09-21T09:45:00,2026-09-21T09:44:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210601,202606040701,10s,2026-09-21T09:44:50,2026-09-21T09:45:00,2026-09-21T09:44:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210901,202609040701,10m,2026-09-21T09:50:00,2026-09-21T10:00:00,2026-09-21T09:50:02,2.001,0B31,2026-09-21T09:49:00,60.0,180.0,saved,16
202609210602,202606040702,30m,2026-09-21T09:50:00,2026-09-21T10:20:00,2026-09-21T09:50:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210603,202606040703,60m,2026-09-21T09:50:00,2026-09-21T10:50:00,2026-09-21T09:50:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210901,202609040701,5m,2026-09-21T09:55:00,2026-09-21T10:00:00,2026-09-21T09:55:02,2.0,0B31,2026-09-21T09:54:00,60.0,180.0,saved,16
202609210901,202609040701,1m,2026-09-21T09:59:00,2026-09-21T10:00:00,2026-09-21T09:59:02,2.001,0B31,2026-09-21T09:58:00,60.0,180.0,saved,16
202609210901,202609040701,10s,2026-09-21T09:59:50,2026-09-21T10:00:00,2026-09-21T09:59:52,2.001,0B31,2026-09-21T09:58:00,110.0,180.0,saved,16
202609210902,202609040702,30m,2026-09-21T10:05:00,2026-09-21T10:35:00,2026-09-21T10:05:02,2.001,0B31,2026-09-21T10:04:00,60.0,900.0,saved,50
202609210903,202609040703,60m,2026-09-21T10:05:00,2026-09-21T11:05:00,2026-09-21T10:05:02,2.001,0B31,2026-09-21T10:03:00,120.0,900.0,saved,59
202609210602,202606040702,10m,2026-09-21T10:10:00,2026-09-21T10:20:00,2026-09-21T10:10:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210602,202606040702,5m,2026-09-21T10:15:00,2026-09-21T10:20:00,2026-09-21T10:15:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210602,202606040702,1m,2026-09-21T10:19:00,2026-09-21T10:20:00,2026-09-21T10:19:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210602,202606040702,10s,2026-09-21T10:19:50,2026-09-21T10:20:00,2026-09-21T10:19:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210603,202606040703,30m,2026-09-21T10:20:00,2026-09-21T10:50:00,2026-09-21T10:20:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210604,202606040704,60m,2026-09-21T10:20:00,2026-09-21T11:20:00,2026-09-21T10:20:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210902,202609040702,10m,2026-09-21T10:25:00,2026-09-21T10:35:00,2026-09-21T10:25:02,2.0,0B31,2026-09-21T10:24:00,60.0,180.0,saved,50
202609210902,202609040702,5m,2026-09-21T10:30:00,2026-09-21T10:35:00,2026-09-21T10:30:02,2.0,0B31,2026-09-21T10:29:00,60.0,180.0,saved,50
202609210902,202609040702,1m,2026-09-21T10:34:00,2026-09-21T10:35:00,2026-09-21T10:34:02,2.0,0B31,2026-09-21T10:33:00,60.0,180.0,saved,50
202609210902,202609040702,10s,2026-09-21T10:34:50,2026-09-21T10:35:00,2026-09-21T10:34:52,2.001,0B31,2026-09-21T10:34:00,50.0,180.0,saved,50
202609210903,202609040703,30m,2026-09-21T10:35:00,2026-09-21T11:05:00,2026-09-21T10:35:02,2.0,0B31,2026-09-21T10:34:00,60.0,900.0,saved,59
202609210904,202609040704,60m,2026-09-21T10:35:00,2026-09-21T11:35:00,2026-09-21T10:35:02,2.0,0B31,2026-09-21T10:33:00,120.0,900.0,saved,65
202609210603,202606040703,10m,2026-09-21T10:40:00,2026-09-21T10:50:00,2026-09-21T10:40:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210603,202606040703,5m,2026-09-21T10:45:00,2026-09-21T10:50:00,2026-09-21T10:45:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210603,202606040703,1m,2026-09-21T10:49:00,2026-09-21T10:50:00,2026-09-21T10:49:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210603,202606040703,10s,2026-09-21T10:49:50,2026-09-21T10:50:00,2026-09-21T10:49:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210604,202606040704,30m,2026-09-21T10:50:00,2026-09-21T11:20:00,2026-09-21T10:50:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210903,202609040703,10m,2026-09-21T10:55:00,2026-09-21T11:05:00,2026-09-21T10:55:02,2.0,0B31,2026-09-21T10:54:00,60.0,180.0,saved,59
202609210903,202609040703,5m,2026-09-21T11:00:00,2026-09-21T11:05:00,2026-09-21T11:00:02,2.0,0B31,2026-09-21T10:59:00,60.0,180.0,saved,59
202609210903,202609040703,1m,2026-09-21T11:04:00,2026-09-21T11:05:00,2026-09-21T11:04:02,2.0,0B31,2026-09-21T11:03:00,60.0,180.0,saved,59
202609210903,202609040703,10s,2026-09-21T11:04:50,2026-09-21T11:05:00,2026-09-21T11:04:52,2.001,0B31,2026-09-21T11:03:00,110.0,180.0,saved,59
202609210904,202609040704,30m,2026-09-21T11:05:00,2026-09-21T11:35:00,2026-09-21T11:05:02,2.0,0B31,2026-09-21T11:04:00,60.0,900.0,saved,65
202609210604,202606040704,10m,2026-09-21T11:10:00,2026-09-21T11:20:00,2026-09-21T11:10:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210605,202606040705,60m,2026-09-21T11:10:00,2026-09-21T12:10:00,2026-09-21T11:10:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210604,202606040704,5m,2026-09-21T11:15:00,2026-09-21T11:20:00,2026-09-21T11:15:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210604,202606040704,1m,2026-09-21T11:19:00,2026-09-21T11:20:00,2026-09-21T11:19:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210604,202606040704,10s,2026-09-21T11:19:50,2026-09-21T11:20:00,2026-09-21T11:19:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210904,202609040704,10m,2026-09-21T11:25:00,2026-09-21T11:35:00,2026-09-21T11:25:02,2.001,0B31,2026-09-21T11:24:00,60.0,180.0,saved,65
202609210905,202609040705,60m,2026-09-21T11:25:00,2026-09-21T12:25:00,2026-09-21T11:25:02,2.001,0B31,2026-09-21T11:23:00,120.0,900.0,saved,50
202609210904,202609040704,5m,2026-09-21T11:30:00,2026-09-21T11:35:00,2026-09-21T11:30:02,2.001,0B31,2026-09-21T11:29:00,60.0,180.0,saved,65
202609210904,202609040704,1m,2026-09-21T11:34:00,2026-09-21T11:35:00,2026-09-21T11:34:02,2.0,0B31,2026-09-21T11:33:00,60.0,180.0,saved,65
202609210904,202609040704,10s,2026-09-21T11:34:50,2026-09-21T11:35:00,2026-09-21T11:34:52,2.001,0B31,2026-09-21T11:33:00,110.0,180.0,saved,65
202609210605,202606040705,30m,2026-09-21T11:40:00,2026-09-21T12:10:00,2026-09-21T11:40:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210606,202606040706,60m,2026-09-21T11:40:00,2026-09-21T12:40:00,2026-09-21T11:40:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210905,202609040705,30m,2026-09-21T11:55:00,2026-09-21T12:25:00,2026-09-21T11:55:02,2.0,0B31,2026-09-21T11:54:00,60.0,900.0,saved,50
202609210906,202609040706,60m,2026-09-21T11:55:00,2026-09-21T12:55:00,2026-09-21T11:55:02,2.0,0B31,2026-09-21T11:54:00,60.0,900.0,saved,65
202609210605,202606040705,10m,2026-09-21T12:00:00,2026-09-21T12:10:00,2026-09-21T12:00:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210605,202606040705,5m,2026-09-21T12:05:00,2026-09-21T12:10:00,2026-09-21T12:05:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210605,202606040705,1m,2026-09-21T12:09:00,2026-09-21T12:10:00,2026-09-21T12:09:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210605,202606040705,10s,2026-09-21T12:09:50,2026-09-21T12:10:00,2026-09-21T12:09:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210606,202606040706,30m,2026-09-21T12:10:00,2026-09-21T12:40:00,2026-09-21T12:10:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210607,202606040707,60m,2026-09-21T12:10:00,2026-09-21T13:10:00,2026-09-21T12:10:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210905,202609040705,10m,2026-09-21T12:15:00,2026-09-21T12:25:00,2026-09-21T12:15:02,2.0,0B31,2026-09-21T12:14:00,60.0,180.0,saved,50
202609210905,202609040705,5m,2026-09-21T12:20:00,2026-09-21T12:25:00,2026-09-21T12:20:02,2.0,0B31,2026-09-21T12:19:00,60.0,180.0,saved,50
202609210905,202609040705,1m,2026-09-21T12:24:00,2026-09-21T12:25:00,2026-09-21T12:24:02,2.001,0B31,2026-09-21T12:23:00,60.0,180.0,saved,50
202609210905,202609040705,10s,2026-09-21T12:24:50,2026-09-21T12:25:00,2026-09-21T12:24:52,2.001,0B31,2026-09-21T12:23:00,110.0,180.0,saved,50
202609210906,202609040706,30m,2026-09-21T12:25:00,2026-09-21T12:55:00,2026-09-21T12:25:02,2.001,0B31,2026-09-21T12:24:00,60.0,900.0,saved,65
202609210907,202609040707,60m,2026-09-21T12:25:00,2026-09-21T13:25:00,2026-09-21T12:25:02,2.001,0B31,2026-09-21T12:23:00,120.0,900.0,saved,72
202609210606,202606040706,10m,2026-09-21T12:30:00,2026-09-21T12:40:00,2026-09-21T12:30:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210606,202606040706,5m,2026-09-21T12:35:00,2026-09-21T12:40:00,2026-09-21T12:35:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210606,202606040706,1m,2026-09-21T12:39:00,2026-09-21T12:40:00,2026-09-21T12:39:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210606,202606040706,10s,2026-09-21T12:39:50,2026-09-21T12:40:00,2026-09-21T12:39:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210607,202606040707,30m,2026-09-21T12:40:00,2026-09-21T13:10:00,2026-09-21T12:40:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210608,202606040708,60m,2026-09-21T12:40:00,2026-09-21T13:40:00,2026-09-21T12:40:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210906,202609040706,10m,2026-09-21T12:45:00,2026-09-21T12:55:00,2026-09-21T12:45:02,2.001,0B31,2026-09-21T12:44:00,60.0,180.0,saved,65
202609210906,202609040706,5m,2026-09-21T12:50:00,2026-09-21T12:55:00,2026-09-21T12:50:02,2.001,0B31,2026-09-21T12:49:00,60.0,180.0,saved,65
202609210906,202609040706,1m,2026-09-21T12:54:00,2026-09-21T12:55:00,2026-09-21T12:54:02,2.001,0B31,2026-09-21T12:53:00,60.0,180.0,saved,65
202609210906,202609040706,10s,2026-09-21T12:54:50,2026-09-21T12:55:00,2026-09-21T12:54:52,2.001,0B31,2026-09-21T12:53:00,110.0,180.0,saved,65
202609210907,202609040707,30m,2026-09-21T12:55:00,2026-09-21T13:25:00,2026-09-21T12:55:02,2.001,0B31,2026-09-21T12:54:00,60.0,900.0,saved,72
202609210908,202609040708,60m,2026-09-21T12:55:00,2026-09-21T13:55:00,2026-09-21T12:55:02,2.001,0B31,2026-09-21T12:54:00,60.0,900.0,saved,56
202609210607,202606040707,10m,2026-09-21T13:00:00,2026-09-21T13:10:00,2026-09-21T13:00:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210607,202606040707,5m,2026-09-21T13:05:00,2026-09-21T13:10:00,2026-09-21T13:05:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210607,202606040707,1m,2026-09-21T13:09:00,2026-09-21T13:10:00,2026-09-21T13:09:02,2.001,0B31,,,180.0,jvlink_unavailable,0
