date,time,post_datetime,race_id,rt_key,venue_code,kai,day,race_number,race_name,access_d_cname,shutuba_url
2026-09-21,09:45,2026-09-21T09:45,202606040701,202609210601,06,04,07,1,検索ウィンドウ,pw01dde0106202604070120260921/B4,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070120260921%2FB4
2026-09-21,10:00,2026-09-21T10:00,202609040701,202609210901,09,04,07,1,検索ウィンドウ,pw01dde0109202604070120260921/92,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070120260921%2F92
2026-09-21,10:20,2026-09-21T10:20,202606040702,202609210602,06,04,07,2,検索ウィンドウ,pw01dde0106202604070220260921/69,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070220260921%2F69
2026-09-21,10:35,2026-09-21T10:35,202609040702,202609210902,09,04,07,2,検索ウィンドウ,pw01dde0109202604070220260921/47,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070220260921%2F47
2026-09-21,10:50,2026-09-21T10:50,202606040703,202609210603,06,04,07,3,検索ウィンドウ,pw01dde0106202604070320260921/1E,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070320260921%2F1E
2026-09-21,11:05,2026-09-21T11:05,202609040703,202609210903,09,04,07,3,検索ウィンドウ,pw01dde0109202604070320260921/FC,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070320260921%2FFC
2026-09-21,11:20,2026-09-21T11:20,202606040704,202609210604,06,04,07,4,検索ウィンドウ,pw01dde0106202604070420260921/D3,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070420260921%2FD3
2026-09-21,11:35,2026-09-21T11:35,202609040704,202609210904,09,04,07,4,検索ウィンドウ,pw01dde0109202604070420260921/B1,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070420260921%2FB1
2026-09-21,12:10,2026-09-21T12:10,202606040705,202609210605,06,04,07,5,検索ウィンドウ,pw01dde0106202604070520260921/88,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070520260921%2F88
2026-09-21,12:25,2026-09-21T12:25,202609040705,202609210905,09,04,07,5,検索ウィンドウ,pw01dde0109202604070520260921/66,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070520260921%2F66
2026-09-21,12:40,2026-09-21T12:40,202606040706,202609210606,06,04,07,6,検索ウィンドウ,pw01dde0106202604070620260921/3D,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070620260921%2F3D
2026-09-21,12:55,2026-09-21T12:55,202609040706,202609210906,09,04,07,6,検索ウィンドウ,pw01dde0109202604070620260921/1B,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070620260921%2F1B
2026-09-21,13:10,2026-09-21T13:10,202606040707,202609210607,06,04,07,7,検索ウィンドウ,pw01dde0106202604070720260921/F2,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070720260921%2FF2
2026-09-21,13:25,2026-09-21T13:25,202609040707,202609210907,09,04,07,7,検索ウィンドウ,pw01dde0109202604070720260921/D0,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070720260921%2FD0
2026-09-21,13:40,2026-09-21T13:40,202606040708,202609210608,06,04,07,8,検索ウィンドウ,pw01dde0106202604070820260921/A7,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070820260921%2FA7
2026-09-21,13:55,2026-09-21T13:55,202609040708,202609210908,09,04,07,8,検索ウィンドウ,pw01dde0109202604070820260921/85,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070820260921%2F85
2026-09-21,14:10,2026-09-21T14:10,202606040709,202609210609,06,04,07,9,検索ウィンドウ,pw01dde0106202604070920260921/5C,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604070920260921%2F5C
2026-09-21,14:25,2026-09-21T14:25,202609040709,202609210909,09,04,07,9,検索ウィンドウ,pw01dde0109202604070920260921/3A,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604070920260921%2F3A
2026-09-21,14:50,2026-09-21T14:50,202606040710,202609210610,06,04,07,10,検索ウィンドウ,pw01dde0106202604071020260921/51,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604071020260921%2F51
2026-09-21,15:05,2026-09-21T15:05,202609040710,202609210910,09,04,07,10,検索ウィンドウ,pw01dde0109202604071020260921/2F,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604071020260921%2F2F
2026-09-21,15:30,2026-09-21T15:30,202606040711,202609210611,06,04,07,11,検索ウィンドウ,pw01dde0106202604071120260921/06,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604071120260921%2F06
2026-09-21,15:45,2026-09-21T15:45,202609040711,202609210911,09,04,07,11,検索ウィンドウ,pw01dde0109202604071120260921/E4,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604071120260921%2FE4
2026-09-21,16:10,2026-09-21T16:10,202606040712,202609210612,06,04,07,12,検索ウィンドウ,pw01dde0106202604071220260921/BB,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0106202604071220260921%2FBB
2026-09-21,16:30,2026-09-21T16:30,202609040712,202609210912,09,04,07,12,検索ウィンドウ,pw01dde0109202604071220260921/99,https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0109202604071220260921%2F99
